Family,Genus,Species
Zenarchopteridae,Zenarchopterus,dispar
Acanthuridae,Zebrasoma ,desjardinii
Acanthuridae,Zebrasoma ,scopas
Acanthuridae,Zebrasoma ,flavescens
Acanthuridae,Zebrasoma ,xanthurum
Acanthuridae,Zebrasoma ,rostratum
Zanclidae,Zanclus,cornutus
Labridae,Wetmorella,albofasciata
Labridae,Wetmorella,nigropinnata
Serranidae,Variola ,louti
Serranidae,Variola ,albimarginata
Gobiidae,Valenciennea,strigata
Mugilidae,Valamugil,engeli
Mugilidae,Valamugil,seheli
Carangidae,Uraspis,helvola
Mullidae,Upeneus,moluccensis
Mullidae,Upeneus,vittatus
Belonidae,Tylosurus,crocodilus
Carangidae,Trachinotus,baillonii
Carangidae,Trachinotus,blochi
Toxotidae,Toxotes,jaculatrix
Scombridae,Thunnus,albacares
Labridae,Thalassoma,jansenii
Labridae,Thalassoma,trilobatum
Labridae,Thalassoma,trilobatum
Labridae,Thalassoma,lutescens
Labridae,Thalassoma,lutescens
Labridae,Thalassoma,quinquevittatum
Labridae,Thalassoma,quinquevittatum
Labridae,Thalassoma,purpureum
Labridae,Thalassoma,purpureum
Labridae,Thalassoma,hardwicke
Labridae,Thalassoma,lunare
Labridae,Thalassoma,lunare
Labridae,Thalassoma,amblycephalum
Labridae,Thalassoma,amblycephalum
Labridae,Thalassoma,genivittatum
Labridae,Thalassoma,genivittatum
Labridae,Thalassoma,duperrey
Labridae,Thalassoma,hebraicum
Labridae,Thalassoma,ballieui
Labridae,Thalassoma,klunzingeri
Terapontidae,Terapon,jarbua
Synodontinae,Synodus,dermatogenys
Synodontinae,Synodus,variegatus
Lutjanidae,Symphorus,nematophorus
Lutjanidae,Symphorichtys,spilurus
Balistidae,Suflamen,chrysoterum
Balistidae,Sufflamen,albicaudatum
Balistidae,Sufflamen,bursa
Balistidae,Sufflamen,chrysopterum
Balistidae,Sufflamen,fraenatum
Labridae,Suezichthys,arquatus
Labridae,Suezichthys,gracilis
Belonidae,Strongylura,incisa
Labridae,Stethojulis,bandanensis
Labridae,Stethojulis,bandanensis
Labridae,Stethojulis,strigiventer
Labridae,Stethojulis,strigiventer
Labridae,Stethojulis,trilineata
Labridae,Stethojulis,trilineata
Labridae,Stethojulis,interrupta
Labridae,Stethojulis,interrupta
Labridae,Stethojulis,albovittata
Labridae,Stethojulis,albovittata
Labridae,Stethojulis,balteata
Labridae,Stethojulis,strigiventer
Pomacentridae,Stegastes,obreptus
